"resourceID","relatedResourceID","relationshipOfResource"
"24d4ae2b-ae2c-411c-a055-156f15d5e222","SCBI_014.20140610.AMBAME.N","pathogen of"
"93e99700-140e-48bf-8833-36d1b41923b9","SCBI_014.20140610.IXOSCA.N","pathogen of"
"e931d70e-a5b0-4b25-83e6-013f1d29076f","SCBI_014.20140610.AMBAME.N","pathogen of"
"bd85feaf-cfd4-4a57-962f-705f9d55bcf0","SCBI_014.20140610.IXOSCA.N","pathogen of"
"1d94ed35-d99d-4af8-9adf-09599c1f221d","SCBI_014.20140610.IXOSCA.N","pathogen of"
"3deac9c5-9905-41ea-af63-047535349586","SCBI_014.20140610.IXOSCA.N","pathogen of"
"febba23e-3bd2-4c42-9165-4ca2ae208ff6","SCBI_014.20140610.AMBAME.N","pathogen of"
"94bda035-5249-4b29-922a-020fba2dd28c","SCBI_014.20140610.IXOSCA.N","pathogen of"
"49b92bd9-4e2e-4285-88b7-341fc2c2c162","SCBI_014.20140610.AMBAME.N","pathogen of"
"447c94a0-29e1-4c74-a6be-91c42306a9cd","SCBI_014.20140610.AMBAME.N","pathogen of"
"22d82bad-10d6-4988-ae19-98d31adb73ce","SCBI_014.20140610.IXOSCA.N","pathogen of"
"078741de-d93e-4584-a001-018e8094c6e8","SCBI_014.20140610.IXOSCA.N","pathogen of"
"f4c11d58-8a36-4263-a5c7-08b7bf96dc27","SCBI_014.20140610.AMBAME.N","pathogen of"
"1514264a-cc62-4aec-a24a-837c4675e1aa","SCBI_014.20140610.IXOSCA.N","pathogen of"
"209557fd-a3bd-42a7-8405-7f533d1eb04a","SCBI_014.20140610.IXOSCA.N","pathogen of"
"5e20d0ee-fd45-4634-8e7a-53a8aeade706","SCBI_014.20140610.IXOSCA.N","pathogen of"
"a2c16e89-cd4d-45f4-b659-0c42c6d6a589","SCBI_014.20140610.AMBAME.N","pathogen of"
"abe4520a-5af8-4e0c-9505-af2c3bddae17","SCBI_014.20140610.IXOSCA.N","pathogen of"
